utc_offset_seconds,generationtime_ms,latitude,longitude,elevation,hourly.relativehumidity_2m,hourly.time,hourly.temperature_2m,hourly.snow_height,hourly.freezinglevel_height,hourly.dewpoint_2m,hourly.pressure_msl,hourly.precipitation,hourly.apparent_temperature,hourly.weathercode,hourly_units.relativehumidity_2m,hourly_units.time,hourly_units.dewpoint_2m,hourly_units.snow_height,hourly_units.freezinglevel_height,hourly_units.temperature_2m,hourly_units.pressure_msl,hourly_units.precipitation,hourly_units.weathercode,hourly_units.apparent_temperature
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T00:00,9.2,0,1601,8.3,1003.1,1.11,7.5,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T01:00,9.2,0,1624,8.3,1002.1,0.46,7.7,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T02:00,9,0,1582,8,1002.1,0.26,7.4,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T03:00,8.9,0,1579,8,1002.1,0.1,7.1,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T04:00,8.9,0,1602,8,1001.6,0.35,7.2,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,94,2021-11-02T05:00,8.6,0,1595,7.7,1000.6,0.16,7,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,93,2021-11-02T06:00,8.5,0,1612,7.4,1001.1,0.04,7,61,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,88,2021-11-02T07:00,8.4,0,1607,6.5,1001.1,0.01,6.8,3,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,83,2021-11-02T08:00,9.3,0,1564,6.6,1001.1,0,8,3,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,84,2021-11-02T09:00,9.7,0,1556,7.1,1001.1,0,8.1,3,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
3600,1.8960237503051758,52.52,13.419998,44.8125,88,2021-11-02T10:00,8.4,0,1607,6.5,1001.1,0,6.8,3,%,iso8601,°C,m,m,°C,hPa,mm,wmo code,°C
