,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
0,Carmencita,1894,Not Rated,10 Mar 1894,1 min,"Documentary, Short",William K.L. Dickson,N/A,Carmencita,"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"1,832",tt0000001,movie,N/A,N/A,N/A,N/A,True,
1,Le clown et ses chiens,1892,N/A,28 Oct 1892,5 min,"Animation, Short",Émile Reynaud,N/A,N/A,Short film of 300 individually painted images.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,236,tt0000002,movie,N/A,N/A,N/A,N/A,True,
2,Pauvre Pierrot,1892,TV-PG,28 Oct 1892,4 min,"Animation, Comedy, Short",Émile Reynaud,N/A,N/A,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWZiY2U3MjgtMzYzNS00OGUzLWI3OTQtNjkyMmZiZjEzNDc2XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,578",tt0000003,movie,N/A,N/A,N/A,N/A,True,
3,Un bon bock,1892,N/A,28 Oct 1892,12 min,"Animation, Short",Émile Reynaud,N/A,N/A,"A wanderer comes into a cabaret in the countryside and asks for a glass of beer to a waitress. It is visible that she appeals to him. When the waitress comes back with the beer, the wanderer begins to court her. Meanwhile the kitchen",None,France,N/A,https://m.media-amazon.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,151,tt0000004,movie,N/A,N/A,N/A,N/A,True,
4,Blacksmith Scene,1893,Unrated,09 May 1893,1 min,"Short, Comedy",William K.L. Dickson,N/A,"Charles Kayser, John Ott",Three men hammer on an anvil and pass a bottle of beer around.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"2,404",tt0000005,movie,N/A,N/A,N/A,N/A,True,
5,Chinese Opium Den,1894,N/A,17 Oct 1894,1 min,Short,William K.L. Dickson,N/A,N/A,N/A,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,158,tt0000006,movie,N/A,N/A,N/A,N/A,True,
6,Corbett and Courtney Before the Kinetograph,1894,Not Rated,17 Nov 1894,1 min,"Short, Sport","William K.L. Dickson, William Heise",N/A,"James J. Corbett, Peter Courtney",James J. Corbett and Peter Courtney meet in a boxing exhibition.,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,752,tt0000007,movie,N/A,N/A,N/A,N/A,True,
7,Edison Kinetoscopic Record of a Sneeze,1894,N/A,09 Jan 1894,1 min,"Documentary, Short",William K.L. Dickson,N/A,Fred Ott,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BNGQ5MjZjYzgtYjJhMC00NDIzLTk0NjgtNmRjZDc1ZGM5MmM5XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"1,980",tt0000008,movie,N/A,N/A,N/A,N/A,True,
8,Miss Jerry,1894,N/A,09 Oct 1894,40 min,"Short, Romance",Alexander Black,Alexander Black,"Blanche Bayliss, William Courtenay, Chauncey Depew",The adventures of a female reporter in the 1890s.,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,190,tt0000009,movie,N/A,N/A,N/A,N/A,True,
9,La sortie de l'usine Lumière à Lyon,1895,Not Rated,22 Mar 1895,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Workers leaving the Lumière factory for lunch in Lyon, France in 1895; a place of great photographic innovation and one of the birth places of cinema.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BY2EwNzY0YmItOWM2MS00MmQyLWEzYmUtYmQ4ZDNlYjg1OGY0XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"6,593",tt0000010,movie,N/A,N/A,N/A,N/A,True,
