,runtime
0,1
1,5
2,4
3,12
4,1
5,1
6,1
7,1
8,40
9,1
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,3
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,1
57,2
58,1
59,1
60,20
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,3
86,1
87,13
88,1
89,1
90,1
91,6
92,1
93,2
94,1
95,1
96,2
97,1
98,3
99,1
100,5
101,1
102,3
103,1
104,1
105,1
106,1
107,4
108,1
109,1
110,2
111,1
112,2
113,2
114,2
115,1
116,1
117,2
118,2
119,1
120,1
121,1
122,6
123,1
124,6
125,1
126,2
127,40
128,1
129,1
130,2
131,2
132,2
133,1
134,1
135,4
136,5
137,2
138,5
139,3
140,2
141,1
142,3
143,6
144,11
145,3
146,6
147,9
148,6
149,3
150,4
151,2
152,10
153,4
154,2
155,3
156,2
157,4
158,13
159,8
160,1
161,1
162,1
163,1
164,2
165,11
166,4
167,15
168,21
169,6
170,4
171,2
172,3
173,2
174,15
175,1
176,4
177,16
178,1
179,13
180,10
181,4
182,3
183,5
184,12
185,14
186,1
187,6
188,12
189,5
190,7
191,24
192,100
193,2
194,10
195,4
196,6
197,8
198,8
199,14
200,12
201,6
202,7
203,15
204,3
205,4
206,6
207,4
208,6
209,7
210,15
211,7
212,3
213,5
214,3
215,7
216,15
217,3
218,13
219,9
220,5
221,17
222,3
223,14
224,7
225,70
226,10
227,13
228,3
229,15
230,8
231,6
232,10
233,90
234,9
235,7
236,10
237,10
238,6
239,9
240,20
241,6
242,20
243,6
244,12
245,17
246,14
247,15
248,7
249,12
250,12
251,12
252,9
253,9
254,10
255,5
256,12
257,16
258,12
259,10
260,2
261,10
262,11
263,17
264,6
265,11
266,25
267,9
268,14
269,10
270,12
271,10
272,15
273,15
274,120
275,2
276,14
277,10
278,15
279,9
280,8
281,14
282,17
283,9
284,15
285,15
286,15
287,6
288,36
289,13
290,15
291,12
292,13
293,17
294,9
295,14
296,13
297,18
298,9
299,10
300,7
301,11
302,8
303,11
304,10
305,13
306,16
307,14
308,8
309,17
310,14
311,8
312,10
313,4
314,11
315,7
316,8
317,11
318,11
319,6
320,17
321,7
322,13
323,17
324,13
325,8
326,10
327,9
328,11
329,13
330,20
331,4
332,11
333,8
334,11
335,11
336,11
337,11
338,10
339,11
340,24
341,11
342,4
343,6
344,10
345,11
346,11
347,12
348,9
349,14
350,14
351,10
352,16
353,10
354,13
355,8
356,11
357,7
358,10
359,10
360,13
361,7
362,7
363,7
364,30
365,6
366,11
367,5
368,11
369,5
370,11
371,11
372,4
373,8
374,6
375,6
376,15
377,5
378,14
379,19
380,3
381,6
382,10
383,10
384,5
385,11
386,3
387,6
388,6
389,11
390,16
391,4
392,10
393,11
394,5
395,11
396,4
397,11
398,7
399,6
400,5
401,11
402,5
403,6
404,4
405,5
406,16
407,8
408,11
409,11
410,11
411,2
412,11
413,8
414,5
415,5
416,6
417,7
418,9
419,20
420,5
421,11
422,10
423,3
424,6
425,12
426,7
427,44
428,20
429,6
430,11
431,11
432,10
433,4
434,5
435,11
436,2
437,8
438,10
439,2
440,3
441,14
442,3
443,10
444,11
445,12
446,7
